trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
349,False,"{'a': 0.002, 'e': 0.4985756229912165}",25,0,5.255186158078042,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
350,False,"{'a': 0.002, 'e': 0.4975794682320448}",20,0,-51.846395873182075,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
351,False,"{'a': 0.002, 'e': 0.49658530379140947}",20,0,-33.6614188151367,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
352,False,"{'a': 0.002, 'e': 0.4955931256926514}",30,19,-6.763966621415875,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 0}",1
353,False,"{'a': 0.002, 'e': 0.494602929967057}",20,0,-50.53428869473436,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
354,False,"{'a': 0.002, 'e': 0.4936147126538418}",30,0,5.896463495566385,"{0: 27, 1: 2, 2: 1, 3: 0, 4: 0}",0
355,False,"{'a': 0.002, 'e': 0.49262846980013547}",20,4,-115.10855951375723,"{0: 10, 1: 0, 2: 3, 3: 1, 4: 2}",1
356,False,"{'a': 0.002, 'e': 0.4916441974609651}",25,0,-116.32041193574302,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
357,False,"{'a': 0.002, 'e': 0.4906618916992401}",25,5,-135.6501080150583,"{0: 12, 1: 3, 2: 0, 3: 3, 4: 2}",1
358,False,"{'a': 0.002, 'e': 0.4896815485857362}",25,14,7.661616739967391,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
359,False,"{'a': 0.002, 'e': 0.4887031641990795}",20,14,-2.7704828414399025,"{0: 4, 1: 2, 2: 0, 3: 0, 4: 0}",1
360,False,"{'a': 0.002, 'e': 0.4877267346257312}",30,7,-43.14129474030927,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 1}",1
361,False,"{'a': 0.002, 'e': 0.4867522559599717}",25,10,-25.393890854424008,"{0: 10, 1: 2, 2: 3, 3: 0, 4: 0}",1
362,False,"{'a': 0.002, 'e': 0.485779724303885}",25,3,-48.684325279516635,"{0: 16, 1: 1, 2: 3, 3: 2, 4: 0}",1
363,False,"{'a': 0.002, 'e': 0.48480913576734325}",25,0,-174.7189948168058,"{0: 15, 1: 2, 2: 3, 3: 2, 4: 3}",0
364,False,"{'a': 0.002, 'e': 0.483840486467991}",20,10,17.237574847514438,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
